Base Part,Base Part Number,Base Style,Base Style Name,Category,Collection,Color,Date,Delivery Date,Delivery Month,Delivery Month ,Delivery Season,Delivery Season ,Family,Garment Type,Gender,Gender/Stature/Type,Global,Item Code,Macro Area,Master Style,Micro Area,Month,Product Category,Product Family,Product Gender,Product Sub-Family,Region,Region ,Reorder Type,Sales Area,Sales Area ,Style,Style Code,Style Code ,Style Description,Style Description ,Sub-Family,Year,Cost,Dnet,Margin $,Measure for Rank,MSRP,Order $ (U.S. Cost),Order $ (U.S. Dealer Net),Order $ (U.S. MSRP),Order $ (USD),Order Quantity,Style Count,Sum of Extra Quantity (Units),Sum of Quantity (Units)
94190-22VM,94190-22VM,MWS 1869772,MWS Random,Sportswear,Seasonal,Blue,2021-01-26,Jan,21 01,21 01,2021 Spring,2021 Spring,Tops Woven,Casual,Women's,Women's Regular,Global,94190-22VM/555,EMEA,94190-22,,1,Sportswear,Tops Woven,Women's,T-Shirt,Europe,Europe,Seasonal,Europe Market,Europe Market,Mechanic Style,94190-22VM,94190-22VM,Mechanic Shirt,Mechanic Shirt,T-Shirt,2021,12.5,27.99,30.98,113,55.98,25.0,55.98,111.96,55.98,2,1,5,2
98128-22VM,98128-22VM,MWS 1125944,MWS Random,Sportswear,Core,Red,2021-12-04,Dec,21 12,21 12,2021 Spring,2021 Spring,Tops Woven,Casual,Men's,Men's Regular,Global,98128-22VM/909,APAC,98128-22,,12,Sportswear,Tops Woven,Men's,Shirt,Europe,Europe,Seasonal,Europe Market,Europe Market,Mechanic Style,98128-22VM,98128-22VM,Mechanic Shirt,Mechanic Shirt,Shirt,2021,25.67,72.29,652.68,174,144.58,359.38,1012.06,2024.12,1012.06,14,1,5,14
94339-22VM,94339-22VM,MWS 1792946,MWS Random,Sportswear,Core,Blue,2021-11-13,Nov,21 11,21 11,2021 Spring,2021 Spring,Tops Woven,Casual,Women's,Women's Regular,Global,94339-22VM/247,North America,94339-22,,11,Sportswear,Tops Woven,Women's,Jacket,USA,USA,Seasonal,USA Market,USA Market,Mechanic Style,94339-22VM,94339-22VM,Mechanic Shirt,Mechanic Shirt,Jacket,2021,14.28,29.41,121.04,274,58.82,114.24,235.28,470.56,235.28,8,1,1,8
90445-22VM,90445-22VM,MWS 1887333,MWS Random,Sportswear,GMMC: Genuine Motorclothes,Blue,2021-05-30,May,21 05,21 05,2021 Spring,2021 Spring,Tops Woven,Casual,Men's,Men's Regular,Global,90445-22VM/784,APAC,90445-22,,5,Sportswear,Tops Woven,Men's,Jacket,Europe,Europe,Seasonal,Europe Market,Europe Market,Mechanic Style,90445-22VM,90445-22VM,Mechanic Shirt,Mechanic Shirt,Jacket,2021,21.05,54.27,398.64,496,108.54,252.6,651.24,1302.48,651.24,12,1,3,12
90626-22VM,90626-22VM,MWS 1563032,MWS Random,Sportswear,Core,Grey,2021-12-16,Dec,21 12,21 12,2021 Spring,2021 Spring,Tops Woven,Casual,Unisex,Unisex Regular,Global,90626-22VM/778,North America,90626-22,,12,Sportswear,Tops Woven,Unisex,Jacket,Asia Pacific,Asia Pacific,Seasonal,Asia Pacific Market,Asia Pacific Market,Mechanic Style,90626-22VM,90626-22VM,Mechanic Shirt,Mechanic Shirt,Jacket,2021,29.81,81.84,988.57,159,163.68,566.39,1554.96,3109.92,1554.96,19,1,1,19
94985-22VM,94985-22VM,MWS 1892308,MWS Random,Sportswear,Core,Black,2021-10-03,Oct,21 10,21 10,2021 Spring,2021 Spring,Tops Woven,Casual,Men's,Men's Regular,Global,94985-22VM/219,APAC,94985-22,,10,Sportswear,Tops Woven,Men's,T-Shirt,Europe,Europe,Seasonal,Europe Market,Europe Market,Mechanic Style,94985-22VM,94985-22VM,Mechanic Shirt,Mechanic Shirt,T-Shirt,2021,21.69,64.62,128.79,173,129.24,65.07,193.86,387.72,193.86,3,1,3,3
90965-22VM,90965-22VM,MWS 1944922,MWS Random,Sportswear,GMMC: Genuine Motorclothes,Grey,2021-08-11,Aug,21 08,21 08,2021 Spring,2021 Spring,Tops Woven,Casual,Men's,Men's Regular,Global,90965-22VM/148,APAC,90965-22,,8,Sportswear,Tops Woven,Men's,Shirt,USA,USA,Seasonal,USA Market,USA Market,Mechanic Style,90965-22VM,90965-22VM,Mechanic Shirt,Mechanic Shirt,Shirt,2021,28.12,69.19,616.05,484,138.38,421.8,1037.85,2075.7,1037.85,15,1,1,15
91252-22VM,91252-22VM,MWS 1249149,MWS Random,Sportswear,Core,Red,2021-01-11,Jan,21 01,21 01,2021 Spring,2021 Spring,Tops Woven,Casual,Unisex,Unisex Regular,Global,91252-22VM/037,APAC,91252-22,,1,Sportswear,Tops Woven,Unisex,Shirt,USA,USA,Seasonal,USA Market,USA Market,Mechanic Style,91252-22VM,91252-22VM,Mechanic Shirt,Mechanic Shirt,Shirt,2021,23.63,59.44,680.39,472,118.88,448.97,1129.36,2258.72,1129.36,19,1,5,19
90027-22VM,90027-22VM,MWS 1312709,MWS Random,Sportswear,GMMC: Genuine Motorclothes,Blue,2021-02-18,Feb,21 02,21 02,2021 Spring,2021 Spring,Tops Woven,Casual,Men's,Men's Regular,Global,90027-22VM/895,North America,90027-22,,2,Sportswear,Tops Woven,Men's,Cap,USA,USA,Seasonal,USA Market,USA Market,Mechanic Style,90027-22VM,90027-22VM,Mechanic Shirt,Mechanic Shirt,Cap,2021,19.58,51.58,480.0,397,103.16,293.7,773.7,1547.4,773.7,15,1,0,15
91212-22VM,91212-22VM,MWS 1130018,MWS Random,Sportswear,Seasonal,Blue,2021-12-31,Dec,21 12,21 12,2021 Spring,2021 Spring,Tops Woven,Casual,Unisex,Unisex Regular,Global,91212-22VM/226,North America,91212-22,,12,Sportswear,Tops Woven,Unisex,T-Shirt,USA,USA,Seasonal,USA Market,USA Market,Mechanic Style,91212-22VM,91212-22VM,Mechanic Shirt,Mechanic Shirt,T-Shirt,2021,27.94,73.02,90.16,147,146.04,55.88,146.04,292.08,146.04,2,1,4,2
95656-22VM,95656-22VM,MWS 1953706,MWS Random,Sportswear,Seasonal,Red,2021-06-25,Jun,21 06,21 06,2021 Spring,2021 Spring,Tops Woven,Casual,Women's,Women's Regular,Global,95656-22VM/526,North America,95656-22,,6,Sportswear,Tops Woven,Women's,Cap,Asia Pacific,Asia Pacific,Seasonal,Asia Pacific Market,Asia Pacific Market,Mechanic Style,95656-22VM,95656-22VM,Mechanic Shirt,Mechanic Shirt,Cap,2021,18.2,40.15,131.7,450,80.3,109.2,240.9,481.8,240.9,6,1,2,6
99072-22VM,99072-22VM,MWS 1653464,MWS Random,Sportswear,GMMC: Genuine Motorclothes,Blue,2021-10-01,Oct,21 10,21 10,2021 Spring,2021 Spring,Tops Woven,Casual,Unisex,Unisex Regular,Global,99072-22VM/816,APAC,99072-22,,10,Sportswear,Tops Woven,Unisex,Jacket,USA,USA,Seasonal,USA Market,USA Market,Mechanic Style,99072-22VM,99072-22VM,Mechanic Shirt,Mechanic Shirt,Jacket,2021,18.61,40.21,86.4,247,80.42,74.44,160.84,321.68,160.84,4,1,2,4
94284-22VM,94284-22VM,MWS 1602671,MWS Random,Sportswear,Seasonal,Black,2021-10-20,Oct,21 10,21 10,2021 Spring,2021 Spring,Tops Woven,Casual,Women's,Women's Regular,Global,94284-22VM/219,North America,94284-22,,10,Sportswear,Tops Woven,Women's,T-Shirt,USA,USA,Seasonal,USA Market,USA Market,Mechanic Style,94284-22VM,94284-22VM,Mechanic Shirt,Mechanic Shirt,T-Shirt,2021,24.66,68.34,611.52,433,136.68,345.24,956.76,1913.52,956.76,14,1,1,14
98915-22VM,98915-22VM,MWS 1861949,MWS Random,Sportswear,Core,Blue,2021-09-10,Sep,21 09,21 09,2021 Spring,2021 Spring,Tops Woven,Casual,Women's,Women's Regular,Global,98915-22VM/752,APAC,98915-22,,9,Sportswear,Tops Woven,Women's,Jacket,USA,USA,Seasonal,USA Market,USA Market,Mechanic Style,98915-22VM,98915-22VM,Mechanic Shirt,Mechanic Shirt,Jacket,2021,28.09,74.38,277.74,481,148.76,168.54,446.28,892.56,446.28,6,1,2,6
